,, , ,,,,,,Ephemeroptera,Plecoptera,Trichoptera,Trichoptera/Hydropsychidae,Anisoptera,Zygoptera,Megaloptera/Coryadidae,Megaloptera/Sialidae,Megaloptera ,Coleoptera,Diptera (flies),Diptera (flies),Diptera (flies),Diptera (flies),Diptera (flies),Amphipoda ,Isopoda,Decapoda,Oligochaeta,Hirundinea,Turbellaria,Gastropoda,Unknown,,Biotic index
4/8/2019,,196,NA Pond,Pond,Pond in Nature Area,10g,,Rebecca Kelly,1,,3,,,,,,,5,,,,,,,22,,3,15,,,,54,7.545454545
,,153,NA Pond,Pond,Pond in Nature Area,10g,6.7,Isabelle DeZenzo,4,,,,,,,,,,,,,,,,,,,3,4,4,,,6.56
4/8/2019,,393,NA Pond,Pond,Pond in Nature Area,10g,6.5,Kara Checke,,,1,,,5,,,,15,,,,,,28,7,,,1,13,5,,,6.813333333
4/8/19,,112,NA Pond,Pond,Pond in Nature Area,10g,6.7g,Hannah Grillo,,,,,,,,,,,,,,,,12,16,,3,17,,1,,86,7.489795918
04/03/19,11,792,Spring Run,Pond,Human impacted pond,10g,11.2g,Kaitlin Kennedy,4,1,,,,,,,,,,2,,,,,,,,,,,,,3.914285714
04/03/2019,,340,Spring Run,Pond,Human impacted pond,10g,11.7,Megan Maar,2,,,,,2,,,,,,,,,,,,,,,,,,,5.3
04/03/2019,,180,Spring Run,Pond,Human impacted pond,10g,7.3g,Joe Scott,9,,,,2,,,,,,,3,,,,7,,,,,,1,,,4.881818182
4/3,,226,Spring Run,Pond,Human impacted pond,10g,6.2g,Michael Ling,,,,,,,,,,,,10,1,,1,,,,,,,,,,6
04/03/2019,,312,Spring Run,pond,Human impacted pond,10g,8.4g,Liutauras Repsys,8,,1,,,,,,,,,,,,,,,,,,7,,,,5.475
04/03/2019,,390,Spring Run,pond,Human impacted pond,10g,5.9g,Michael Ling,3,,,,,,,,,,,13,,,,,5,,2,,,,,,6.295652174
04/03/2019,,262,Spring Run ,Pond,Human impacted pond,10g,7.9g,Chase Hoehn,15,,,,,1,,,,,,1,,,,,,,3,,,,,,4.55
04/08/2019,,32,Stony Run,Creek,Cold rocky creek,10g,6.3,Go Ogata,6,1,10,4,6,0,0,0,0,0,0,,,,2,,1,,3,,,,,,4.2
04/08/2019,,271,Stony Run,Creek,"Cold, rocky run through hemlock/deciduous forest. Minimal human impact.",10g,6.2g,Alex Busato,21,3,5,1,0,1,0,0,,4,0,0,0,2,0,0,0,0,2,0,0,0,1 Salamander Larva,,3.617142857
04/07/2019,,113,Stony Run,creek,creek,10g,2.9g,Lindsey B and Julia B,47,2,11,,,11,,,,,,,,,,,,,,,,,,,3.929577465
04/08,,152,Stony Run,Creek,Creek,10g,6.2,Gabby Kessel,12,3,4,,0,3,,,,,,,,1,,,,,2,,,,,,3.896
04/08/19,,159,Stony Run,Creek,Creek,10g,7.5g,P.J. Strahm,5,16,12,,,,,,,,,,,,1,1,,,,,,,,,2.274285714
4/8/2019,,121,Stony Run,Creek,creek in park,unmatched,8.8g,"Max Malika, Abby Turco",75,,8,1,,,,22,,,,,,,,,,,,,,,,,3.635849057
04/08/19,,138,Stony Run,Creek,Creek on campus,10g,8.1,Kendyll Hazzard,1,5,23,1,0,5,,,,,,,,,,,21,,,,3,,,,5.169491525
04/08/2019,,166,Stony Run,Creek,Wooded area with large creeks,10g,7g,Riley McDonnell,8,1,38,2,,,,,,,,,,,,,,,,,,,,,2.983673469
,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
04/08/2019,,254,,Creek,Bridge over creek,10g,9.35,Kelsey Bordash,1,,,,,1,,,,,,,,,,,,,,2,,,,,6.65
4/8/2019,,345,,Creek,bridge over creek,10g,21.7,Caroline Saef and Kristin Smith,4,,3,,,1,,,,,,1,,,,2,2,,,,,,,,4.907692308
4/8/19,,306,,Creek ,Bridge over creek,10g,9.2g,Ally Johnson,,,,,,1,,,1,,,,,,4,,,,,,1,,,,6.228571429
4/8/19,,117,,creek ,bridge over creek ,10g,6.2g,Sarah Bain,,,,,,4,,,,,,,,,,,14,,,5,,,,,7.826086957
04/08/2019,,146,,creek,brige over creek,10g,6.6g,Natalie Slupe,5,,,,,,,,,,,,,,,,2,,,,,1,,,5.125
