"Notes"	"State"	"State Code"	"Year"	"Year Code"	Avg Fine Particulate Matter (µg/m³)
	"Connecticut"	"09"	"2003"	"2003"	12.70
	"Connecticut"	"09"	"2004"	"2004"	11.81
	"Connecticut"	"09"	"2005"	"2005"	12.08
	"Connecticut"	"09"	"2006"	"2006"	10.85
	"Connecticut"	"09"	"2007"	"2007"	10.59
	"Connecticut"	"09"	"2008"	"2008"	10.38
	"Connecticut"	"09"	"2009"	"2009"	11.06
	"Connecticut"	"09"	"2010"	"2010"	10.84
	"Connecticut"	"09"	"2011"	"2011"	10.50
	"Delaware"	"10"	"2003"	"2003"	14.00
	"Delaware"	"10"	"2004"	"2004"	13.82
	"Delaware"	"10"	"2005"	"2005"	14.02
	"Delaware"	"10"	"2006"	"2006"	13.38
	"Delaware"	"10"	"2007"	"2007"	12.53
	"Delaware"	"10"	"2008"	"2008"	11.80
	"Delaware"	"10"	"2009"	"2009"	12.08
	"Delaware"	"10"	"2010"	"2010"	12.30
	"Delaware"	"10"	"2011"	"2011"	11.88
	"District of Columbia"	"11"	"2003"	"2003"	14.51
	"District of Columbia"	"11"	"2004"	"2004"	14.83
	"District of Columbia"	"11"	"2005"	"2005"	14.92
	"District of Columbia"	"11"	"2006"	"2006"	13.91
	"District of Columbia"	"11"	"2007"	"2007"	13.52
	"District of Columbia"	"11"	"2008"	"2008"	12.40
	"District of Columbia"	"11"	"2009"	"2009"	12.57
	"District of Columbia"	"11"	"2010"	"2010"	12.91
	"District of Columbia"	"11"	"2011"	"2011"	12.65
	"Florida"	"12"	"2003"	"2003"	9.77
	"Florida"	"12"	"2004"	"2004"	10.23
	"Florida"	"12"	"2005"	"2005"	10.51
	"Florida"	"12"	"2006"	"2006"	10.24
	"Florida"	"12"	"2007"	"2007"	9.73
	"Florida"	"12"	"2008"	"2008"	8.44
	"Florida"	"12"	"2009"	"2009"	11.11
	"Florida"	"12"	"2010"	"2010"	11.76
	"Florida"	"12"	"2011"	"2011"	11.37
	"Georgia"	"13"	"2003"	"2003"	13.70
	"Georgia"	"13"	"2004"	"2004"	14.24
	"Georgia"	"13"	"2005"	"2005"	14.75
	"Georgia"	"13"	"2006"	"2006"	14.29
	"Georgia"	"13"	"2007"	"2007"	13.97
	"Georgia"	"13"	"2008"	"2008"	12.03
	"Georgia"	"13"	"2009"	"2009"	11.11
	"Georgia"	"13"	"2010"	"2010"	12.86
	"Georgia"	"13"	"2011"	"2011"	12.78
	"Idaho"	"16"	"2003"	"2003"	8.07
	"Idaho"	"16"	"2004"	"2004"	10.56
	"Idaho"	"16"	"2005"	"2005"	9.40
	"Idaho"	"16"	"2006"	"2006"	8.51
	"Idaho"	"16"	"2007"	"2007"	8.99
	"Idaho"	"16"	"2008"	"2008"	8.20
	"Idaho"	"16"	"2009"	"2009"	11.06
	"Idaho"	"16"	"2010"	"2010"	10.92
	"Idaho"	"16"	"2011"	"2011"	10.06
	"Illinois"	"17"	"2003"	"2003"	14.36
	"Illinois"	"17"	"2004"	"2004"	13.26
	"Illinois"	"17"	"2005"	"2005"	15.41
	"Illinois"	"17"	"2006"	"2006"	13.31
	"Illinois"	"17"	"2007"	"2007"	13.77
	"Illinois"	"17"	"2008"	"2008"	12.26
	"Illinois"	"17"	"2009"	"2009"	12.90
	"Illinois"	"17"	"2010"	"2010"	12.61
	"Illinois"	"17"	"2011"	"2011"	12.54
	"Indiana"	"18"	"2003"	"2003"	15.69
	"Indiana"	"18"	"2004"	"2004"	14.69
	"Indiana"	"18"	"2005"	"2005"	16.58
	"Indiana"	"18"	"2006"	"2006"	14.39
	"Indiana"	"18"	"2007"	"2007"	14.52
	"Indiana"	"18"	"2008"	"2008"	12.98
	"Indiana"	"18"	"2009"	"2009"	13.52
	"Indiana"	"18"	"2010"	"2010"	13.33
	"Indiana"	"18"	"2011"	"2011"	13.53
	"Iowa"	"19"	"2003"	"2003"	10.98
	"Iowa"	"19"	"2004"	"2004"	10.45
	"Iowa"	"19"	"2005"	"2005"	11.85
	"Iowa"	"19"	"2006"	"2006"	10.21
	"Iowa"	"19"	"2007"	"2007"	11.84
	"Iowa"	"19"	"2008"	"2008"	10.34
	"Iowa"	"19"	"2009"	"2009"	12.18
	"Iowa"	"19"	"2010"	"2010"	11.68
	"Iowa"	"19"	"2011"	"2011"	10.85
	"Kansas"	"20"	"2003"	"2003"	10.16
	"Kansas"	"20"	"2004"	"2004"	9.96
	"Kansas"	"20"	"2005"	"2005"	10.93
	"Kansas"	"20"	"2006"	"2006"	9.54
	"Kansas"	"20"	"2007"	"2007"	10.75
	"Kansas"	"20"	"2008"	"2008"	9.68
	"Kansas"	"20"	"2009"	"2009"	11.73
	"Kansas"	"20"	"2010"	"2010"	10.96
	"Kansas"	"20"	"2011"	"2011"	10.85
	"Kentucky"	"21"	"2003"	"2003"	15.06
	"Kentucky"	"21"	"2004"	"2004"	14.17
	"Kentucky"	"21"	"2005"	"2005"	15.82
	"Kentucky"	"21"	"2006"	"2006"	14.55
	"Kentucky"	"21"	"2007"	"2007"	14.91
	"Kentucky"	"21"	"2008"	"2008"	13.05
	"Kentucky"	"21"	"2009"	"2009"	12.76
	"Kentucky"	"21"	"2010"	"2010"	13.08
	"Kentucky"	"21"	"2011"	"2011"	13.47
	"Louisiana"	"22"	"2003"	"2003"	12.21
	"Louisiana"	"22"	"2004"	"2004"	11.80
	"Louisiana"	"22"	"2005"	"2005"	12.98
	"Louisiana"	"22"	"2006"	"2006"	12.30
	"Louisiana"	"22"	"2007"	"2007"	11.56
	"Louisiana"	"22"	"2008"	"2008"	10.79
	"Louisiana"	"22"	"2009"	"2009"	10.76
	"Louisiana"	"22"	"2010"	"2010"	11.47
	"Louisiana"	"22"	"2011"	"2011"	10.83
	"Maine"	"23"	"2003"	"2003"	9.97
	"Maine"	"23"	"2004"	"2004"	9.30
	"Maine"	"23"	"2005"	"2005"	9.67
	"Maine"	"23"	"2006"	"2006"	8.54
	"Maine"	"23"	"2007"	"2007"	8.34
	"Maine"	"23"	"2008"	"2008"	8.80
	"Maine"	"23"	"2009"	"2009"	11.09
	"Maine"	"23"	"2010"	"2010"	10.81
	"Maine"	"23"	"2011"	"2011"	10.28
	"Maryland"	"24"	"2003"	"2003"	14.45
	"Maryland"	"24"	"2004"	"2004"	14.56
	"Maryland"	"24"	"2005"	"2005"	14.75
	"Maryland"	"24"	"2006"	"2006"	13.72
	"Maryland"	"24"	"2007"	"2007"	13.42
	"Maryland"	"24"	"2008"	"2008"	12.46
	"Maryland"	"24"	"2009"	"2009"	12.52
	"Maryland"	"24"	"2010"	"2010"	12.77
	"Maryland"	"24"	"2011"	"2011"	12.54
	"Massachusetts"	"25"	"2003"	"2003"	11.41
	"Massachusetts"	"25"	"2004"	"2004"	11.06
	"Massachusetts"	"25"	"2005"	"2005"	11.19
	"Massachusetts"	"25"	"2006"	"2006"	9.92
	"Massachusetts"	"25"	"2007"	"2007"	9.96
	"Massachusetts"	"25"	"2008"	"2008"	10.08
	"Massachusetts"	"25"	"2009"	"2009"	11.13
	"Massachusetts"	"25"	"2010"	"2010"	10.99
	"Massachusetts"	"25"	"2011"	"2011"	10.48
	"Michigan"	"26"	"2003"	"2003"	12.05
	"Michigan"	"26"	"2004"	"2004"	11.06
	"Michigan"	"26"	"2005"	"2005"	11.99
	"Michigan"	"26"	"2006"	"2006"	11.35
	"Michigan"	"26"	"2007"	"2007"	10.69
	"Michigan"	"26"	"2008"	"2008"	9.88
	"Michigan"	"26"	"2009"	"2009"	12.45
	"Michigan"	"26"	"2010"	"2010"	11.78
	"Michigan"	"26"	"2011"	"2011"	11.49
	"Minnesota"	"27"	"2003"	"2003"	11.39
	"Minnesota"	"27"	"2004"	"2004"	10.90
	"Minnesota"	"27"	"2005"	"2005"	11.16
	"Minnesota"	"27"	"2006"	"2006"	10.89
	"Minnesota"	"27"	"2007"	"2007"	11.76
	"Minnesota"	"27"	"2008"	"2008"	9.97
	"Minnesota"	"27"	"2009"	"2009"	14.14
	"Minnesota"	"27"	"2010"	"2010"	12.99
	"Minnesota"	"27"	"2011"	"2011"	12.03
	"Mississippi"	"28"	"2003"	"2003"	14.04
	"Mississippi"	"28"	"2004"	"2004"	13.43
	"Mississippi"	"28"	"2005"	"2005"	14.90
	"Mississippi"	"28"	"2006"	"2006"	14.29
	"Mississippi"	"28"	"2007"	"2007"	13.93
	"Mississippi"	"28"	"2008"	"2008"	12.40
	"Mississippi"	"28"	"2009"	"2009"	11.05
	"Mississippi"	"28"	"2010"	"2010"	12.25
	"Mississippi"	"28"	"2011"	"2011"	12.16
	"Missouri"	"29"	"2003"	"2003"	11.89
	"Missouri"	"29"	"2004"	"2004"	11.04
	"Missouri"	"29"	"2005"	"2005"	12.87
	"Missouri"	"29"	"2006"	"2006"	10.97
	"Missouri"	"29"	"2007"	"2007"	11.87
	"Missouri"	"29"	"2008"	"2008"	10.63
	"Missouri"	"29"	"2009"	"2009"	10.52
	"Missouri"	"29"	"2010"	"2010"	10.51
	"Missouri"	"29"	"2011"	"2011"	10.19
	"Montana"	"30"	"2003"	"2003"	9.97
	"Montana"	"30"	"2004"	"2004"	10.85
	"Montana"	"30"	"2005"	"2005"	10.34
	"Montana"	"30"	"2006"	"2006"	9.86
	"Montana"	"30"	"2007"	"2007"	10.62
	"Montana"	"30"	"2008"	"2008"	8.29
	"Montana"	"30"	"2009"	"2009"	12.02
	"Montana"	"30"	"2010"	"2010"	11.52
	"Montana"	"30"	"2011"	"2011"	10.91
	"Nebraska"	"31"	"2003"	"2003"	10.29
	"Nebraska"	"31"	"2004"	"2004"	10.30
	"Nebraska"	"31"	"2005"	"2005"	11.03
	"Nebraska"	"31"	"2006"	"2006"	9.96
	"Nebraska"	"31"	"2007"	"2007"	11.11
	"Nebraska"	"31"	"2008"	"2008"	9.40
	"Nebraska"	"31"	"2009"	"2009"	13.72
	"Nebraska"	"31"	"2010"	"2010"	13.00
	"Nebraska"	"31"	"2011"	"2011"	12.08
	"Nevada"	"32"	"2003"	"2003"	12.63
	"Nevada"	"32"	"2004"	"2004"	13.55
	"Nevada"	"32"	"2005"	"2005"	12.84
	"Nevada"	"32"	"2006"	"2006"	12.53
	"Nevada"	"32"	"2007"	"2007"	12.82
	"Nevada"	"32"	"2008"	"2008"	12.80
	"Nevada"	"32"	"2009"	"2009"	14.35
	"Nevada"	"32"	"2010"	"2010"	12.63
	"Nevada"	"32"	"2011"	"2011"	12.47
	"New Hampshire"	"33"	"2003"	"2003"	10.04
	"New Hampshire"	"33"	"2004"	"2004"	9.77
	"New Hampshire"	"33"	"2005"	"2005"	9.85
	"New Hampshire"	"33"	"2006"	"2006"	8.76
	"New Hampshire"	"33"	"2007"	"2007"	9.22
	"New Hampshire"	"33"	"2008"	"2008"	9.59
	"New Hampshire"	"33"	"2009"	"2009"	11.16
	"New Hampshire"	"33"	"2010"	"2010"	10.89
	"New Hampshire"	"33"	"2011"	"2011"	10.48
	"New Jersey"	"34"	"2003"	"2003"	14.23
	"New Jersey"	"34"	"2004"	"2004"	13.21
	"New Jersey"	"34"	"2005"	"2005"	13.61
	"New Jersey"	"34"	"2006"	"2006"	12.75
	"New Jersey"	"34"	"2007"	"2007"	12.40
	"New Jersey"	"34"	"2008"	"2008"	11.63
	"New Jersey"	"34"	"2009"	"2009"	11.63
	"New Jersey"	"34"	"2010"	"2010"	11.46
	"New Jersey"	"34"	"2011"	"2011"	11.26
	"New Mexico"	"35"	"2003"	"2003"	8.66
	"New Mexico"	"35"	"2004"	"2004"	7.75
	"New Mexico"	"35"	"2005"	"2005"	8.18
	"New Mexico"	"35"	"2006"	"2006"	7.64
	"New Mexico"	"35"	"2007"	"2007"	8.06
	"New Mexico"	"35"	"2008"	"2008"	10.36
	"New Mexico"	"35"	"2009"	"2009"	11.40
	"New Mexico"	"35"	"2010"	"2010"	9.82
	"New Mexico"	"35"	"2011"	"2011"	9.95
	"New York"	"36"	"2003"	"2003"	11.45
	"New York"	"36"	"2004"	"2004"	11.00
	"New York"	"36"	"2005"	"2005"	11.60
	"New York"	"36"	"2006"	"2006"	9.91
	"New York"	"36"	"2007"	"2007"	10.37
	"New York"	"36"	"2008"	"2008"	10.90
	"New York"	"36"	"2009"	"2009"	12.11
	"New York"	"36"	"2010"	"2010"	11.78
	"New York"	"36"	"2011"	"2011"	11.68
	"North Carolina"	"37"	"2003"	"2003"	13.23
	"North Carolina"	"37"	"2004"	"2004"	13.72
	"North Carolina"	"37"	"2005"	"2005"	13.85
	"North Carolina"	"37"	"2006"	"2006"	13.56
	"North Carolina"	"37"	"2007"	"2007"	12.92
	"North Carolina"	"37"	"2008"	"2008"	12.86
	"North Carolina"	"37"	"2009"	"2009"	11.83
	"North Carolina"	"37"	"2010"	"2010"	12.58
	"North Carolina"	"37"	"2011"	"2011"	12.33
	"North Dakota"	"38"	"2003"	"2003"	9.31
	"North Dakota"	"38"	"2004"	"2004"	9.49
	"North Dakota"	"38"	"2005"	"2005"	9.18
	"North Dakota"	"38"	"2006"	"2006"	8.95
	"North Dakota"	"38"	"2007"	"2007"	9.63
	"North Dakota"	"38"	"2008"	"2008"	7.31
	"North Dakota"	"38"	"2009"	"2009"	11.76
	"North Dakota"	"38"	"2010"	"2010"	10.86
	"North Dakota"	"38"	"2011"	"2011"	10.01
	"Ohio"	"39"	"2003"	"2003"	15.28
	"Ohio"	"39"	"2004"	"2004"	14.77
	"Ohio"	"39"	"2005"	"2005"	15.93
	"Ohio"	"39"	"2006"	"2006"	14.11
	"Ohio"	"39"	"2007"	"2007"	14.41
	"Ohio"	"39"	"2008"	"2008"	13.44
	"Ohio"	"39"	"2009"	"2009"	13.38
	"Ohio"	"39"	"2010"	"2010"	13.22
	"Ohio"	"39"	"2011"	"2011"	13.49
	"Oklahoma"	"40"	"2003"	"2003"	10.39
	"Oklahoma"	"40"	"2004"	"2004"	9.59
	"Oklahoma"	"40"	"2005"	"2005"	10.70
	"Oklahoma"	"40"	"2006"	"2006"	9.29
	"Oklahoma"	"40"	"2007"	"2007"	10.57
	"Oklahoma"	"40"	"2008"	"2008"	10.12
	"Oklahoma"	"40"	"2009"	"2009"	10.49
	"Oklahoma"	"40"	"2010"	"2010"	10.28
	"Oklahoma"	"40"	"2011"	"2011"	10.33
	"Oregon"	"41"	"2003"	"2003"	8.99
	"Oregon"	"41"	"2004"	"2004"	10.03
	"Oregon"	"41"	"2005"	"2005"	9.36
	"Oregon"	"41"	"2006"	"2006"	9.03
	"Oregon"	"41"	"2007"	"2007"	8.50
	"Oregon"	"41"	"2008"	"2008"	9.11
	"Oregon"	"41"	"2009"	"2009"	8.98
	"Oregon"	"41"	"2010"	"2010"	9.23
	"Oregon"	"41"	"2011"	"2011"	8.91
	"Pennsylvania"	"42"	"2003"	"2003"	14.14
	"Pennsylvania"	"42"	"2004"	"2004"	13.72
	"Pennsylvania"	"42"	"2005"	"2005"	14.41
	"Pennsylvania"	"42"	"2006"	"2006"	12.74
	"Pennsylvania"	"42"	"2007"	"2007"	13.33
	"Pennsylvania"	"42"	"2008"	"2008"	13.18
	"Pennsylvania"	"42"	"2009"	"2009"	12.99
	"Pennsylvania"	"42"	"2010"	"2010"	12.69
	"Pennsylvania"	"42"	"2011"	"2011"	12.90
	"Rhode Island"	"44"	"2003"	"2003"	12.18
	"Rhode Island"	"44"	"2004"	"2004"	11.54
	"Rhode Island"	"44"	"2005"	"2005"	11.66
	"Rhode Island"	"44"	"2006"	"2006"	10.59
	"Rhode Island"	"44"	"2007"	"2007"	10.26
	"Rhode Island"	"44"	"2008"	"2008"	10.22
	"Rhode Island"	"44"	"2009"	"2009"	10.95
	"Rhode Island"	"44"	"2010"	"2010"	10.78
	"Rhode Island"	"44"	"2011"	"2011"	10.28
	"South Carolina"	"45"	"2003"	"2003"	13.05
	"South Carolina"	"45"	"2004"	"2004"	14.00
	"South Carolina"	"45"	"2005"	"2005"	14.38
	"South Carolina"	"45"	"2006"	"2006"	13.92
	"South Carolina"	"45"	"2007"	"2007"	13.15
	"South Carolina"	"45"	"2008"	"2008"	12.88
	"South Carolina"	"45"	"2009"	"2009"	11.69
	"South Carolina"	"45"	"2010"	"2010"	12.82
	"South Carolina"	"45"	"2011"	"2011"	12.56
	"South Dakota"	"46"	"2003"	"2003"	9.34
	"South Dakota"	"46"	"2004"	"2004"	9.80
	"South Dakota"	"46"	"2005"	"2005"	9.93
	"South Dakota"	"46"	"2006"	"2006"	9.13
	"South Dakota"	"46"	"2007"	"2007"	10.32
	"South Dakota"	"46"	"2008"	"2008"	8.41
	"South Dakota"	"46"	"2009"	"2009"	12.71
	"South Dakota"	"46"	"2010"	"2010"	12.02
	"South Dakota"	"46"	"2011"	"2011"	10.84
	"Tennessee"	"47"	"2003"	"2003"	14.79
	"Tennessee"	"47"	"2004"	"2004"	13.81
	"Tennessee"	"47"	"2005"	"2005"	15.32
	"Tennessee"	"47"	"2006"	"2006"	14.51
	"Tennessee"	"47"	"2007"	"2007"	14.37
	"Tennessee"	"47"	"2008"	"2008"	13.89
	"Tennessee"	"47"	"2009"	"2009"	12.35
	"Tennessee"	"47"	"2010"	"2010"	13.36
	"Tennessee"	"47"	"2011"	"2011"	13.76
	"Texas"	"48"	"2003"	"2003"	10.60
	"Texas"	"48"	"2004"	"2004"	9.97
	"Texas"	"48"	"2005"	"2005"	10.87
	"Texas"	"48"	"2006"	"2006"	10.11
	"Texas"	"48"	"2007"	"2007"	10.20
	"Texas"	"48"	"2008"	"2008"	10.16
	"Texas"	"48"	"2009"	"2009"	10.24
	"Texas"	"48"	"2010"	"2010"	9.82
	"Texas"	"48"	"2011"	"2011"	9.61
	"Utah"	"49"	"2003"	"2003"	8.80
	"Utah"	"49"	"2004"	"2004"	10.87
	"Utah"	"49"	"2005"	"2005"	9.91
	"Utah"	"49"	"2006"	"2006"	8.84
	"Utah"	"49"	"2007"	"2007"	10.12
	"Utah"	"49"	"2008"	"2008"	9.41
	"Utah"	"49"	"2009"	"2009"	13.71
	"Utah"	"49"	"2010"	"2010"	12.02
	"Utah"	"49"	"2011"	"2011"	11.39
	"Vermont"	"50"	"2003"	"2003"	9.71
	"Vermont"	"50"	"2004"	"2004"	9.51
	"Vermont"	"50"	"2005"	"2005"	9.61
	"Vermont"	"50"	"2006"	"2006"	8.49
	"Vermont"	"50"	"2007"	"2007"	9.17
	"Vermont"	"50"	"2008"	"2008"	9.62
	"Vermont"	"50"	"2009"	"2009"	11.32
	"Vermont"	"50"	"2010"	"2010"	11.08
	"Vermont"	"50"	"2011"	"2011"	10.74
	"Virginia"	"51"	"2003"	"2003"	13.90
	"Virginia"	"51"	"2004"	"2004"	14.05
	"Virginia"	"51"	"2005"	"2005"	14.36
	"Virginia"	"51"	"2006"	"2006"	13.68
	"Virginia"	"51"	"2007"	"2007"	13.42
	"Virginia"	"51"	"2008"	"2008"	12.46
	"Virginia"	"51"	"2009"	"2009"	12.19
	"Virginia"	"51"	"2010"	"2010"	12.62
	"Virginia"	"51"	"2011"	"2011"	12.66
	"Washington"	"53"	"2003"	"2003"	9.04
	"Washington"	"53"	"2004"	"2004"	9.60
	"Washington"	"53"	"2005"	"2005"	9.56
	"Washington"	"53"	"2006"	"2006"	10.04
	"Washington"	"53"	"2007"	"2007"	9.07
	"Washington"	"53"	"2008"	"2008"	11.04
	"Washington"	"53"	"2009"	"2009"	11.12
	"Washington"	"53"	"2010"	"2010"	11.32
	"Washington"	"53"	"2011"	"2011"	10.98
	"West Virginia"	"54"	"2003"	"2003"	14.61
	"West Virginia"	"54"	"2004"	"2004"	14.35
	"West Virginia"	"54"	"2005"	"2005"	15.11
	"West Virginia"	"54"	"2006"	"2006"	14.04
	"West Virginia"	"54"	"2007"	"2007"	14.67
	"West Virginia"	"54"	"2008"	"2008"	12.62
	"West Virginia"	"54"	"2009"	"2009"	12.56
	"West Virginia"	"54"	"2010"	"2010"	12.71
	"West Virginia"	"54"	"2011"	"2011"	13.19
	"Wisconsin"	"55"	"2003"	"2003"	11.35
	"Wisconsin"	"55"	"2004"	"2004"	10.66
	"Wisconsin"	"55"	"2005"	"2005"	11.45
	"Wisconsin"	"55"	"2006"	"2006"	11.42
	"Wisconsin"	"55"	"2007"	"2007"	11.72
	"Wisconsin"	"55"	"2008"	"2008"	10.08
	"Wisconsin"	"55"	"2009"	"2009"	13.02
	"Wisconsin"	"55"	"2010"	"2010"	12.09
	"Wisconsin"	"55"	"2011"	"2011"	11.49
	"Wyoming"	"56"	"2003"	"2003"	7.92
	"Wyoming"	"56"	"2004"	"2004"	10.15
	"Wyoming"	"56"	"2005"	"2005"	9.14
	"Wyoming"	"56"	"2006"	"2006"	7.99
	"Wyoming"	"56"	"2007"	"2007"	9.07
	"Wyoming"	"56"	"2008"	"2008"	7.28
	"Wyoming"	"56"	"2009"	"2009"	13.08
	"Wyoming"	"56"	"2010"	"2010"	12.43
	"Wyoming"	"56"	"2011"	"2011"	11.18
