"Notes"	"State"	"State Code"	"Year"	"Year Code"	Avg Daily Max Heat Index (C)
	"Florida"	"12"	"2004"	"2004"	33.88
	"Florida"	"12"	"2005"	"2005"	34.47
	"Florida"	"12"	"2006"	"2006"	33.73
	"Florida"	"12"	"2007"	"2007"	33.94
	"Florida"	"12"	"2008"	"2008"	33.72
	"Florida"	"12"	"2009"	"2009"	34.97
	"Florida"	"12"	"2010"	"2010"	35.35
	"Florida"	"12"	"2011"	"2011"	34.42
	"Georgia"	"13"	"2003"	"2003"	32.77
	"Georgia"	"13"	"2004"	"2004"	32.78
	"Georgia"	"13"	"2005"	"2005"	33.70
	"Georgia"	"13"	"2006"	"2006"	33.56
	"Georgia"	"13"	"2007"	"2007"	33.44
	"Georgia"	"13"	"2008"	"2008"	33.23
	"Georgia"	"13"	"2009"	"2009"	34.31
	"Georgia"	"13"	"2010"	"2010"	35.19
	"Georgia"	"13"	"2011"	"2011"	34.83
	"Idaho"	"16"	"2003"	"2003"	29.36
	"Idaho"	"16"	"2004"	"2004"	28.88
	"Idaho"	"16"	"2005"	"2005"	28.96
	"Idaho"	"16"	"2006"	"2006"	29.04
	"Idaho"	"16"	"2007"	"2007"	29.37
	"Idaho"	"16"	"2008"	"2008"	28.81
	"Idaho"	"16"	"2009"	"2009"	28.64
	"Idaho"	"16"	"2010"	"2010"	28.53
	"Idaho"	"16"	"2011"	"2011"	28.56
	"Illinois"	"17"	"2003"	"2003"	32.41
	"Illinois"	"17"	"2004"	"2004"	31.64
	"Illinois"	"17"	"2005"	"2005"	33.53
	"Illinois"	"17"	"2006"	"2006"	33.29
	"Illinois"	"17"	"2007"	"2007"	32.71
	"Illinois"	"17"	"2008"	"2008"	32.67
	"Illinois"	"17"	"2009"	"2009"	31.75
	"Illinois"	"17"	"2010"	"2010"	34.56
	"Illinois"	"17"	"2011"	"2011"	35.44
	"Indiana"	"18"	"2003"	"2003"	32.28
	"Indiana"	"18"	"2004"	"2004"	31.29
	"Indiana"	"18"	"2005"	"2005"	32.60
	"Indiana"	"18"	"2006"	"2006"	33.21
	"Indiana"	"18"	"2007"	"2007"	32.22
	"Indiana"	"18"	"2008"	"2008"	32.08
	"Indiana"	"18"	"2009"	"2009"	31.30
	"Indiana"	"18"	"2010"	"2010"	33.62
	"Indiana"	"18"	"2011"	"2011"	34.57
	"Iowa"	"19"	"2003"	"2003"	32.20
	"Iowa"	"19"	"2004"	"2004"	31.36
	"Iowa"	"19"	"2005"	"2005"	32.71
	"Iowa"	"19"	"2006"	"2006"	32.40
	"Iowa"	"19"	"2007"	"2007"	32.92
	"Iowa"	"19"	"2008"	"2008"	31.88
	"Iowa"	"19"	"2009"	"2009"	31.08
	"Iowa"	"19"	"2010"	"2010"	33.77
	"Iowa"	"19"	"2011"	"2011"	34.35
	"Kansas"	"20"	"2003"	"2003"	33.23
	"Kansas"	"20"	"2004"	"2004"	31.77
	"Kansas"	"20"	"2005"	"2005"	33.01
	"Kansas"	"20"	"2006"	"2006"	33.11
	"Kansas"	"20"	"2007"	"2007"	32.96
	"Kansas"	"20"	"2008"	"2008"	32.59
	"Kansas"	"20"	"2009"	"2009"	32.67
	"Kansas"	"20"	"2010"	"2010"	34.28
	"Kansas"	"20"	"2011"	"2011"	35.01
	"Kentucky"	"21"	"2003"	"2003"	32.15
	"Kentucky"	"21"	"2004"	"2004"	31.42
	"Kentucky"	"21"	"2005"	"2005"	32.76
	"Kentucky"	"21"	"2006"	"2006"	33.15
	"Kentucky"	"21"	"2007"	"2007"	32.34
	"Kentucky"	"21"	"2008"	"2008"	31.91
	"Kentucky"	"21"	"2009"	"2009"	31.89
	"Kentucky"	"21"	"2010"	"2010"	34.27
	"Kentucky"	"21"	"2011"	"2011"	34.54
	"Louisiana"	"22"	"2003"	"2003"	34.06
	"Louisiana"	"22"	"2004"	"2004"	34.23
	"Louisiana"	"22"	"2005"	"2005"	35.45
	"Louisiana"	"22"	"2006"	"2006"	34.73
	"Louisiana"	"22"	"2007"	"2007"	34.44
	"Louisiana"	"22"	"2008"	"2008"	34.73
	"Louisiana"	"22"	"2009"	"2009"	36.06
	"Louisiana"	"22"	"2010"	"2010"	36.43
	"Louisiana"	"22"	"2011"	"2011"	35.60
	"Maine"	"23"	"2003"	"2003"	30.92
	"Maine"	"23"	"2004"	"2004"	29.83
	"Maine"	"23"	"2005"	"2005"	30.85
	"Maine"	"23"	"2006"	"2006"	30.83
	"Maine"	"23"	"2007"	"2007"	30.74
	"Maine"	"23"	"2008"	"2008"	30.31
	"Maine"	"23"	"2009"	"2009"	30.73
	"Maine"	"23"	"2010"	"2010"	30.69
	"Maine"	"23"	"2011"	"2011"	30.38
	"Maryland"	"24"	"2003"	"2003"	31.99
	"Maryland"	"24"	"2004"	"2004"	30.83
	"Maryland"	"24"	"2005"	"2005"	32.22
	"Maryland"	"24"	"2006"	"2006"	32.50
	"Maryland"	"24"	"2007"	"2007"	31.80
	"Maryland"	"24"	"2008"	"2008"	31.23
	"Maryland"	"24"	"2009"	"2009"	30.57
	"Maryland"	"24"	"2010"	"2010"	32.87
	"Maryland"	"24"	"2011"	"2011"	32.72
	"Massachusetts"	"25"	"2003"	"2003"	31.62
	"Massachusetts"	"25"	"2004"	"2004"	30.44
	"Massachusetts"	"25"	"2005"	"2005"	31.66
	"Massachusetts"	"25"	"2006"	"2006"	32.23
	"Massachusetts"	"25"	"2007"	"2007"	31.12
	"Massachusetts"	"25"	"2008"	"2008"	31.11
	"Massachusetts"	"25"	"2009"	"2009"	30.94
	"Massachusetts"	"25"	"2010"	"2010"	31.14
	"Massachusetts"	"25"	"2011"	"2011"	31.21
	"Michigan"	"26"	"2003"	"2003"	30.12
	"Michigan"	"26"	"2004"	"2004"	29.90
	"Michigan"	"26"	"2005"	"2005"	31.18
	"Michigan"	"26"	"2006"	"2006"	31.58
	"Michigan"	"26"	"2007"	"2007"	30.75
	"Michigan"	"26"	"2008"	"2008"	30.43
	"Michigan"	"26"	"2009"	"2009"	29.81
	"Michigan"	"26"	"2010"	"2010"	31.56
	"Michigan"	"26"	"2011"	"2011"	32.51
	"Minnesota"	"27"	"2003"	"2003"	30.77
	"Minnesota"	"27"	"2004"	"2004"	30.20
	"Minnesota"	"27"	"2005"	"2005"	31.97
	"Minnesota"	"27"	"2006"	"2006"	30.99
	"Minnesota"	"27"	"2007"	"2007"	31.59
	"Minnesota"	"27"	"2008"	"2008"	30.03
	"Minnesota"	"27"	"2009"	"2009"	29.48
	"Minnesota"	"27"	"2010"	"2010"	31.67
	"Minnesota"	"27"	"2011"	"2011"	32.24
	"Mississippi"	"28"	"2003"	"2003"	33.38
	"Mississippi"	"28"	"2004"	"2004"	33.19
	"Mississippi"	"28"	"2005"	"2005"	34.68
	"Mississippi"	"28"	"2006"	"2006"	34.40
	"Mississippi"	"28"	"2007"	"2007"	34.04
	"Mississippi"	"28"	"2008"	"2008"	34.13
	"Mississippi"	"28"	"2009"	"2009"	35.27
	"Mississippi"	"28"	"2010"	"2010"	36.00
	"Mississippi"	"28"	"2011"	"2011"	35.43
	"Missouri"	"29"	"2003"	"2003"	33.48
	"Missouri"	"29"	"2004"	"2004"	32.12
	"Missouri"	"29"	"2005"	"2005"	33.70
	"Missouri"	"29"	"2006"	"2006"	33.65
	"Missouri"	"29"	"2007"	"2007"	33.25
	"Missouri"	"29"	"2008"	"2008"	33.40
	"Missouri"	"29"	"2009"	"2009"	33.14
	"Missouri"	"29"	"2010"	"2010"	35.57
	"Missouri"	"29"	"2011"	"2011"	36.07
	"Montana"	"30"	"2003"	"2003"	30.17
	"Montana"	"30"	"2004"	"2004"	28.78
	"Montana"	"30"	"2005"	"2005"	29.63
	"Montana"	"30"	"2006"	"2006"	29.48
	"Montana"	"30"	"2007"	"2007"	30.19
	"Montana"	"30"	"2008"	"2008"	29.00
	"Montana"	"30"	"2009"	"2009"	28.79
	"Montana"	"30"	"2010"	"2010"	29.11
	"Montana"	"30"	"2011"	"2011"	29.19
	"Nebraska"	"31"	"2003"	"2003"	31.79
	"Nebraska"	"31"	"2004"	"2004"	30.91
	"Nebraska"	"31"	"2005"	"2005"	32.04
	"Nebraska"	"31"	"2006"	"2006"	31.78
	"Nebraska"	"31"	"2007"	"2007"	32.30
	"Nebraska"	"31"	"2008"	"2008"	31.19
	"Nebraska"	"31"	"2009"	"2009"	30.63
	"Nebraska"	"31"	"2010"	"2010"	32.19
	"Nebraska"	"31"	"2011"	"2011"	33.05
	"Nevada"	"32"	"2003"	"2003"	29.50
	"Nevada"	"32"	"2004"	"2004"	29.02
	"Nevada"	"32"	"2005"	"2005"	29.48
	"Nevada"	"32"	"2006"	"2006"	29.47
	"Nevada"	"32"	"2007"	"2007"	29.63
	"Nevada"	"32"	"2008"	"2008"	29.27
	"Nevada"	"32"	"2009"	"2009"	29.18
	"Nevada"	"32"	"2010"	"2010"	29.26
	"Nevada"	"32"	"2011"	"2011"	28.99
	"New Hampshire"	"33"	"2003"	"2003"	31.21
	"New Hampshire"	"33"	"2004"	"2004"	30.15
	"New Hampshire"	"33"	"2005"	"2005"	31.08
	"New Hampshire"	"33"	"2006"	"2006"	32.03
	"New Hampshire"	"33"	"2007"	"2007"	31.11
	"New Hampshire"	"33"	"2008"	"2008"	31.02
	"New Hampshire"	"33"	"2009"	"2009"	30.39
	"New Hampshire"	"33"	"2010"	"2010"	30.73
	"New Hampshire"	"33"	"2011"	"2011"	30.99
	"New Jersey"	"34"	"2003"	"2003"	31.81
	"New Jersey"	"34"	"2004"	"2004"	30.54
	"New Jersey"	"34"	"2005"	"2005"	31.89
	"New Jersey"	"34"	"2006"	"2006"	32.43
	"New Jersey"	"34"	"2007"	"2007"	31.68
	"New Jersey"	"34"	"2008"	"2008"	31.15
	"New Jersey"	"34"	"2009"	"2009"	30.92
	"New Jersey"	"34"	"2010"	"2010"	32.43
	"New Jersey"	"34"	"2011"	"2011"	32.45
	"New Mexico"	"35"	"2003"	"2003"	29.75
	"New Mexico"	"35"	"2004"	"2004"	29.30
	"New Mexico"	"35"	"2005"	"2005"	29.77
	"New Mexico"	"35"	"2006"	"2006"	29.69
	"New Mexico"	"35"	"2007"	"2007"	29.54
	"New Mexico"	"35"	"2008"	"2008"	29.39
	"New Mexico"	"35"	"2009"	"2009"	29.96
	"New Mexico"	"35"	"2010"	"2010"	29.99
	"New Mexico"	"35"	"2011"	"2011"	30.36
	"New York"	"36"	"2003"	"2003"	30.68
	"New York"	"36"	"2004"	"2004"	30.07
	"New York"	"36"	"2005"	"2005"	31.14
	"New York"	"36"	"2006"	"2006"	31.84
	"New York"	"36"	"2007"	"2007"	30.87
	"New York"	"36"	"2008"	"2008"	30.84
	"New York"	"36"	"2009"	"2009"	30.62
	"New York"	"36"	"2010"	"2010"	31.10
	"New York"	"36"	"2011"	"2011"	31.37
	"North Carolina"	"37"	"2003"	"2003"	32.90
	"North Carolina"	"37"	"2004"	"2004"	31.72
	"North Carolina"	"37"	"2005"	"2005"	33.53
	"North Carolina"	"37"	"2006"	"2006"	32.83
	"North Carolina"	"37"	"2007"	"2007"	32.84
	"North Carolina"	"37"	"2008"	"2008"	32.85
	"North Carolina"	"37"	"2009"	"2009"	32.52
	"North Carolina"	"37"	"2010"	"2010"	34.28
	"North Carolina"	"37"	"2011"	"2011"	33.92
	"North Dakota"	"38"	"2003"	"2003"	30.94
	"North Dakota"	"38"	"2004"	"2004"	29.40
	"North Dakota"	"38"	"2005"	"2005"	31.24
	"North Dakota"	"38"	"2006"	"2006"	30.79
	"North Dakota"	"38"	"2007"	"2007"	31.59
	"North Dakota"	"38"	"2008"	"2008"	29.78
	"North Dakota"	"38"	"2009"	"2009"	29.30
	"North Dakota"	"38"	"2010"	"2010"	30.94
	"North Dakota"	"38"	"2011"	"2011"	30.90
	"Ohio"	"39"	"2003"	"2003"	31.51
	"Ohio"	"39"	"2004"	"2004"	30.39
	"Ohio"	"39"	"2005"	"2005"	31.61
	"Ohio"	"39"	"2006"	"2006"	32.11
	"Ohio"	"39"	"2007"	"2007"	31.40
	"Ohio"	"39"	"2008"	"2008"	31.26
	"Ohio"	"39"	"2009"	"2009"	30.50
	"Ohio"	"39"	"2010"	"2010"	32.47
	"Ohio"	"39"	"2011"	"2011"	33.53
	"Oklahoma"	"40"	"2003"	"2003"	33.77
	"Oklahoma"	"40"	"2004"	"2004"	32.74
	"Oklahoma"	"40"	"2005"	"2005"	34.43
	"Oklahoma"	"40"	"2006"	"2006"	34.38
	"Oklahoma"	"40"	"2007"	"2007"	33.36
	"Oklahoma"	"40"	"2008"	"2008"	33.92
	"Oklahoma"	"40"	"2009"	"2009"	34.93
	"Oklahoma"	"40"	"2010"	"2010"	35.90
	"Oklahoma"	"40"	"2011"	"2011"	36.17
	"Oregon"	"41"	"2003"	"2003"	28.82
	"Oregon"	"41"	"2004"	"2004"	28.71
	"Oregon"	"41"	"2005"	"2005"	28.55
	"Oregon"	"41"	"2006"	"2006"	28.85
	"Oregon"	"41"	"2007"	"2007"	28.80
	"Oregon"	"41"	"2008"	"2008"	28.45
	"Oregon"	"41"	"2009"	"2009"	28.68
	"Oregon"	"41"	"2010"	"2010"	28.21
	"Oregon"	"41"	"2011"	"2011"	28.02
	"Pennsylvania"	"42"	"2003"	"2003"	30.89
	"Pennsylvania"	"42"	"2004"	"2004"	29.95
	"Pennsylvania"	"42"	"2005"	"2005"	31.05
	"Pennsylvania"	"42"	"2006"	"2006"	31.44
	"Pennsylvania"	"42"	"2007"	"2007"	30.90
	"Pennsylvania"	"42"	"2008"	"2008"	30.60
	"Pennsylvania"	"42"	"2009"	"2009"	30.16
	"Pennsylvania"	"42"	"2010"	"2010"	31.31
	"Pennsylvania"	"42"	"2011"	"2011"	32.05
	"Rhode Island"	"44"	"2003"	"2003"	31.84
	"Rhode Island"	"44"	"2004"	"2004"	30.37
	"Rhode Island"	"44"	"2005"	"2005"	31.52
	"Rhode Island"	"44"	"2006"	"2006"	32.32
	"Rhode Island"	"44"	"2007"	"2007"	30.79
	"Rhode Island"	"44"	"2008"	"2008"	30.84
	"Rhode Island"	"44"	"2009"	"2009"	31.35
	"Rhode Island"	"44"	"2010"	"2010"	31.56
	"Rhode Island"	"44"	"2011"	"2011"	31.23
	"South Carolina"	"45"	"2003"	"2003"	33.07
	"South Carolina"	"45"	"2004"	"2004"	32.63
	"South Carolina"	"45"	"2005"	"2005"	34.07
	"South Carolina"	"45"	"2006"	"2006"	33.41
	"South Carolina"	"45"	"2007"	"2007"	33.57
	"South Carolina"	"45"	"2008"	"2008"	33.58
	"South Carolina"	"45"	"2009"	"2009"	34.14
	"South Carolina"	"45"	"2010"	"2010"	35.23
	"South Carolina"	"45"	"2011"	"2011"	34.92
	"South Dakota"	"46"	"2003"	"2003"	31.52
	"South Dakota"	"46"	"2004"	"2004"	30.43
	"South Dakota"	"46"	"2005"	"2005"	31.96
	"South Dakota"	"46"	"2006"	"2006"	31.74
	"South Dakota"	"46"	"2007"	"2007"	32.42
	"South Dakota"	"46"	"2008"	"2008"	30.89
	"South Dakota"	"46"	"2009"	"2009"	29.91
	"South Dakota"	"46"	"2010"	"2010"	31.89
	"South Dakota"	"46"	"2011"	"2011"	32.36
	"Tennessee"	"47"	"2003"	"2003"	32.21
	"Tennessee"	"47"	"2004"	"2004"	31.55
	"Tennessee"	"47"	"2005"	"2005"	33.03
	"Tennessee"	"47"	"2006"	"2006"	33.07
	"Tennessee"	"47"	"2007"	"2007"	32.69
	"Tennessee"	"47"	"2008"	"2008"	32.27
	"Tennessee"	"47"	"2009"	"2009"	32.68
	"Tennessee"	"47"	"2010"	"2010"	34.61
	"Tennessee"	"47"	"2011"	"2011"	34.48
	"Texas"	"48"	"2003"	"2003"	33.44
	"Texas"	"48"	"2004"	"2004"	33.20
	"Texas"	"48"	"2005"	"2005"	34.25
	"Texas"	"48"	"2006"	"2006"	33.79
	"Texas"	"48"	"2007"	"2007"	32.94
	"Texas"	"48"	"2008"	"2008"	33.37
	"Texas"	"48"	"2009"	"2009"	34.64
	"Texas"	"48"	"2010"	"2010"	34.79
	"Texas"	"48"	"2011"	"2011"	34.89
	"Utah"	"49"	"2003"	"2003"	29.69
	"Utah"	"49"	"2004"	"2004"	28.89
	"Utah"	"49"	"2005"	"2005"	29.41
	"Utah"	"49"	"2006"	"2006"	29.39
	"Utah"	"49"	"2007"	"2007"	29.67
	"Utah"	"49"	"2008"	"2008"	29.33
	"Utah"	"49"	"2009"	"2009"	28.94
	"Utah"	"49"	"2010"	"2010"	29.15
	"Utah"	"49"	"2011"	"2011"	29.12
	"Vermont"	"50"	"2003"	"2003"	30.70
	"Vermont"	"50"	"2004"	"2004"	30.03
	"Vermont"	"50"	"2005"	"2005"	30.76
	"Vermont"	"50"	"2006"	"2006"	31.62
	"Vermont"	"50"	"2007"	"2007"	30.92
	"Vermont"	"50"	"2008"	"2008"	30.86
	"Vermont"	"50"	"2009"	"2009"	30.49
	"Vermont"	"50"	"2010"	"2010"	31.21
	"Vermont"	"50"	"2011"	"2011"	30.86
	"Virginia"	"51"	"2003"	"2003"	32.41
	"Virginia"	"51"	"2004"	"2004"	31.13
	"Virginia"	"51"	"2005"	"2005"	32.57
	"Virginia"	"51"	"2006"	"2006"	32.36
	"Virginia"	"51"	"2007"	"2007"	31.99
	"Virginia"	"51"	"2008"	"2008"	31.56
	"Virginia"	"51"	"2009"	"2009"	31.13
	"Virginia"	"51"	"2010"	"2010"	33.07
	"Virginia"	"51"	"2011"	"2011"	32.92
	"Washington"	"53"	"2003"	"2003"	29.56
	"Washington"	"53"	"2004"	"2004"	29.90
	"Washington"	"53"	"2005"	"2005"	29.21
	"Washington"	"53"	"2006"	"2006"	29.89
	"Washington"	"53"	"2007"	"2007"	29.42
	"Washington"	"53"	"2008"	"2008"	29.48
	"Washington"	"53"	"2009"	"2009"	29.55
	"Washington"	"53"	"2010"	"2010"	28.94
	"Washington"	"53"	"2011"	"2011"	28.97
	"West Virginia"	"54"	"2003"	"2003"	30.87
	"West Virginia"	"54"	"2004"	"2004"	30.19
	"West Virginia"	"54"	"2005"	"2005"	31.24
	"West Virginia"	"54"	"2006"	"2006"	31.43
	"West Virginia"	"54"	"2007"	"2007"	31.07
	"West Virginia"	"54"	"2008"	"2008"	30.71
	"West Virginia"	"54"	"2009"	"2009"	30.13
	"West Virginia"	"54"	"2010"	"2010"	31.69
	"West Virginia"	"54"	"2011"	"2011"	32.12
	"Wisconsin"	"55"	"2003"	"2003"	31.23
	"Wisconsin"	"55"	"2004"	"2004"	30.42
	"Wisconsin"	"55"	"2005"	"2005"	31.71
	"Wisconsin"	"55"	"2006"	"2006"	31.67
	"Wisconsin"	"55"	"2007"	"2007"	31.41
	"Wisconsin"	"55"	"2008"	"2008"	30.44
	"Wisconsin"	"55"	"2009"	"2009"	29.53
	"Wisconsin"	"55"	"2010"	"2010"	32.04
	"Wisconsin"	"55"	"2011"	"2011"	32.74
	"Wyoming"	"56"	"2003"	"2003"	29.22
	"Wyoming"	"56"	"2004"	"2004"	28.15
	"Wyoming"	"56"	"2005"	"2005"	28.78
	"Wyoming"	"56"	"2006"	"2006"	28.81
	"Wyoming"	"56"	"2007"	"2007"	29.03
	"Wyoming"	"56"	"2008"	"2008"	28.44
	"Wyoming"	"56"	"2009"	"2009"	28.01
	"Wyoming"	"56"	"2010"	"2010"	28.43
	"Wyoming"	"56"	"2011"	"2011"	28.65
